NEST A1,NEST A3,NEST A5,NEST A7,NEST A9,NEST B2,NEST B4,NEST B6,NEST B8,NEST B10,NEST C1,NEST C3,NEST C5,NEST C7,NEST C9,NEST D2,NEST D4,NEST D6,NEST D8,NEST D10,NEST E1,NEST E3,NEST E5,NEST E7,NEST E9
32.911,32.704,32.497,32.704,32.807,30.963,30.659,31.064,31.166,31.37,31.676,30.76,30.963,30.963,31.166,31.37,31.064,30.963,30.963,31.064,32.086,31.676,31.472,31.37,31.268
32.911,32.704,32.497,32.704,32.807,30.963,30.659,31.064,31.166,31.37,31.676,30.76,30.963,30.963,31.166,31.37,31.064,30.963,30.963,31.064,32.086,31.676,31.472,31.37,31.268
32.911,32.704,32.497,32.807,32.807,30.963,30.659,31.064,31.166,31.37,31.676,30.76,30.963,30.963,31.166,31.37,31.064,31.064,30.963,31.064,32.086,31.676,31.472,31.37,31.268
32.911,32.704,32.497,32.807,32.807,30.963,30.659,31.064,31.166,31.37,31.676,30.76,30.963,30.963,31.166,31.37,31.064,31.064,30.963,31.064,32.086,31.676,31.472,31.37,31.268
32.911,32.704,32.6,32.807,32.807,30.963,30.659,31.064,31.166,31.37,31.676,30.76,30.963,30.963,31.166,31.37,31.064,31.064,31.064,31.064,32.086,31.676,31.472,31.37,31.268
32.911,32.704,32.6,32.807,32.807,30.963,30.659,31.064,31.166,31.37,31.676,30.76,30.963,30.963,31.166,31.37,31.064,31.064,31.064,31.064,32.086,31.676,31.472,31.37,31.268
32.911,32.704,32.6,32.807,32.807,30.963,30.659,31.064,31.166,31.37,31.676,30.862,30.963,31.064,31.166,31.37,31.064,31.064,31.064,31.064,32.086,31.676,31.472,31.37,31.268
32.911,32.807,32.6,32.807,32.807,30.963,30.659,31.064,31.166,31.37,31.676,30.862,31.064,31.064,31.166,31.472,31.064,31.064,31.064,31.064,32.086,31.676,31.472,31.472,31.268
32.911,32.807,32.6,32.807,32.807,30.963,30.659,31.064,31.166,31.37,31.676,30.862,31.064,31.064,31.268,31.472,31.064,31.064,31.064,31.064,32.086,31.778,31.472,31.472,31.37
32.911,32.807,32.6,32.807,32.807,30.963,30.659,31.064,31.166,31.37,31.676,30.862,31.064,31.064,31.268,31.472,31.064,31.064,31.064,31.064,32.188,31.778,31.472,31.472,31.37
32.911,32.807,32.6,32.807,32.911,30.963,30.659,31.064,31.166,31.37,31.676,30.862,31.064,31.064,31.268,31.472,31.166,31.064,31.064,31.064,32.188,31.778,31.472,31.472,31.37
32.911,32.807,32.6,32.807,32.911,30.963,30.659,31.064,31.166,31.472,31.676,30.862,31.064,31.064,31.268,31.472,31.166,31.064,31.064,31.064,32.188,31.778,31.472,31.472,31.37
32.911,32.807,32.6,32.807,32.911,31.064,30.659,31.064,31.166,31.472,31.676,30.862,31.064,31.064,31.268,31.472,31.166,31.064,31.064,31.064,32.188,31.778,31.574,31.472,31.37
33.014,32.807,32.6,32.807,32.911,31.064,30.659,31.064,31.166,31.472,31.676,30.862,31.064,31.064,31.268,31.472,31.166,31.064,31.064,31.064,32.188,31.778,31.574,31.472,31.37
33.014,32.807,32.704,32.807,32.911,31.064,30.659,31.064,31.166,31.472,31.676,30.862,31.064,31.064,31.268,31.472,31.166,31.064,31.064,31.064,32.188,31.778,31.574,31.472,31.37
33.014,32.807,32.704,32.911,32.911,31.064,30.76,31.064,31.268,31.472,31.676,30.862,31.064,31.064,31.268,31.472,31.166,31.064,31.064,31.064,32.188,31.778,31.574,31.472,31.37
33.014,32.807,32.704,32.911,32.911,31.064,30.76,31.064,31.268,31.472,31.676,30.862,31.064,31.064,31.268,31.472,31.166,31.064,31.064,31.064,32.188,31.778,31.574,31.472,31.37
33.014,32.807,32.704,32.911,32.911,31.064,30.76,31.064,31.268,31.472,31.676,30.862,31.064,31.064,31.268,31.472,31.166,31.064,31.064,31.064,32.188,31.778,31.574,31.472,31.37
33.014,32.807,32.704,32.911,32.911,31.064,30.76,31.064,31.268,31.472,31.676,30.862,31.064,31.064,31.268,31.472,31.166,31.064,31.064,31.166,32.188,31.88,31.574,31.472,31.37
33.014,32.807,32.704,32.911,32.911,31.064,30.76,31.064,31.268,31.472,31.676,30.862,31.064,31.166,31.268,31.472,31.166,31.064,31.064,31.166,32.188,31.88,31.574,31.574,31.37
33.014,32.807,32.704,32.911,32.911,31.064,30.76,31.064,31.268,31.472,31.778,30.862,31.166,31.166,31.268,31.472,31.166,31.166,31.064,31.166,32.188,31.88,31.574,31.574,31.37
33.014,32.911,32.704,32.911,32.911,31.064,30.76,31.064,31.268,31.472,31.778,30.963,31.166,31.166,31.268,31.472,31.166,31.166,31.064,31.166,32.188,31.88,31.574,31.574,31.37
33.014,32.911,32.704,32.911,32.911,31.064,30.76,31.166,31.268,31.472,31.778,30.963,31.166,31.166,31.37,31.472,31.166,31.166,31.064,31.166,32.188,31.88,31.574,31.574,31.37
33.014,32.911,32.704,32.911,33.014,31.064,30.76,31.166,31.268,31.472,31.778,30.963,31.166,31.166,31.37,31.472,31.268,31.166,31.064,31.166,32.291,31.88,31.574,31.574,31.37
33.014,32.911,32.704,32.911,33.014,31.064,30.76,31.166,31.268,31.472,31.778,30.963,31.166,31.166,31.37,31.574,31.268,31.166,31.166,31.166,32.291,31.88,31.574,31.574,31.37
33.118,32.911,32.704,33.014,33.014,31.064,30.76,31.166,31.268,31.472,31.778,30.963,31.166,31.166,31.37,31.574,31.268,31.166,31.166,31.166,32.291,31.88,31.574,31.574,31.37
33.118,32.911,32.704,33.014,33.014,31.064,30.76,31.166,31.268,31.472,31.778,30.963,31.166,31.166,31.37,31.574,31.268,31.166,31.166,31.166,32.291,31.88,31.574,31.574,31.472
33.118,32.911,32.807,33.014,33.014,31.166,30.76,31.166,31.268,31.472,31.778,30.963,31.166,31.166,31.37,31.574,31.268,31.166,31.166,31.166,32.291,31.88,31.574,31.574,31.472
33.118,32.911,32.807,33.014,33.014,31.166,30.862,31.166,31.268,31.574,31.778,30.963,31.166,31.166,31.37,31.574,31.268,31.166,31.166,31.166,32.291,31.88,31.676,31.574,31.472
33.118,32.911,32.807,33.014,33.014,31.166,30.862,31.166,31.268,31.574,31.778,30.963,31.166,31.166,31.37,31.574,31.268,31.166,31.166,31.166,32.291,31.88,31.676,31.574,31.472
33.118,32.911,32.807,33.014,33.118,31.166,30.862,31.166,31.37,31.574,31.778,30.963,31.166,31.166,31.472,31.574,31.268,31.166,31.166,31.166,32.291,31.88,31.676,31.574,31.472
33.118,32.911,32.807,33.014,33.118,31.166,30.862,31.166,31.37,31.574,31.778,30.963,31.166,31.166,31.472,31.574,31.268,31.166,31.166,31.166,32.394,31.88,31.676,31.574,31.472
33.118,32.911,32.807,33.014,33.118,31.166,30.862,31.166,31.37,31.574,31.778,30.963,31.166,31.268,31.472,31.574,31.268,31.166,31.166,31.166,32.394,31.88,31.676,31.574,31.472
33.118,32.911,32.807,33.014,33.118,31.166,30.862,31.166,31.37,31.574,31.778,30.963,31.166,31.268,31.472,31.574,31.268,31.268,31.166,31.268,32.394,31.88,31.676,31.574,31.472
33.118,33.014,32.807,33.014,33.118,31.166,30.862,31.166,31.37,31.574,31.778,30.963,31.166,31.268,31.472,31.574,31.268,31.268,31.166,31.268,32.394,31.88,31.676,31.574,31.472
33.222,33.014,32.807,33.014,33.118,31.166,30.862,31.166,31.37,31.574,31.778,30.963,31.166,31.268,31.472,31.574,31.37,31.268,31.166,31.268,32.394,31.88,31.676,31.574,31.472
33.222,33.014,32.807,33.014,33.118,31.166,30.862,31.166,31.37,31.574,31.778,30.963,31.166,31.268,31.472,31.676,31.37,31.268,31.166,31.268,32.394,31.88,31.676,31.574,31.472
33.222,33.014,32.807,33.014,33.118,31.268,30.862,31.166,31.37,31.574,31.778,31.064,31.166,31.268,31.472,31.676,31.37,31.268,31.268,31.268,32.394,31.88,31.676,31.574,31.472
33.222,33.014,32.807,33.014,33.118,31.268,30.862,31.268,31.37,31.574,31.88,31.064,31.166,31.268,31.472,31.676,31.37,31.268,31.268,31.268,32.394,31.88,31.676,31.574,31.472
33.222,33.014,32.807,33.118,33.118,31.268,30.862,31.268,31.37,31.574,31.88,31.064,31.166,31.268,31.472,31.676,31.37,31.268,31.268,31.268,32.394,31.88,31.676,31.574,31.472
33.222,33.014,32.807,33.118,33.118,31.268,30.862,31.268,31.37,31.574,31.88,31.064,31.166,31.268,31.472,31.676,31.37,31.268,31.268,31.268,32.394,31.983,31.676,31.574,31.472
33.222,33.014,32.807,33.118,33.118,31.268,30.862,31.268,31.37,31.574,31.88,31.064,31.166,31.268,31.472,31.676,31.37,31.268,31.268,31.268,32.394,31.983,31.676,31.676,31.472
33.326,33.014,32.807,33.118,33.118,31.268,30.862,31.268,31.37,31.574,31.88,31.064,31.166,31.268,31.472,31.676,31.37,31.268,31.268,31.268,32.394,31.983,31.676,31.676,31.472
33.326,33.014,32.911,33.118,33.222,31.268,30.963,31.268,31.37,31.574,31.88,31.064,31.166,31.268,31.472,31.676,31.37,31.268,31.268,31.268,32.394,31.983,31.676,31.676,31.472
33.326,33.014,32.911,33.118,33.222,31.268,30.963,31.268,31.37,31.574,31.88,31.064,31.166,31.268,31.472,31.676,31.37,31.268,31.268,31.268,32.394,31.983,31.676,31.676,31.472
33.326,33.118,32.911,33.118,33.222,31.268,30.963,31.268,31.472,31.574,31.88,31.064,31.166,31.268,31.472,31.676,31.37,31.37,31.268,31.268,32.394,31.983,31.676,31.676,31.472
33.326,33.118,32.911,33.222,33.222,31.37,30.963,31.268,31.472,31.574,31.88,31.064,31.166,31.268,31.472,31.676,31.37,31.37,31.268,31.268,32.394,31.983,31.676,31.676,31.472
33.326,33.118,32.911,33.222,33.222,31.37,30.963,31.268,31.472,31.574,31.983,31.064,31.166,31.37,31.472,31.676,31.37,31.37,31.268,31.268,32.394,31.983,31.676,31.676,31.472
