Treatment,Nest,MeanTempTSP,Date,MinTempTSP,MaxTempTSP
E,E3,31.2425,7/9/17,31.064,32.704
E,E3,31.7015,7/10/17,31.064,32.704
E,E3,31.812,7/11/17,31.064,32.704
E,E3,31.608,7/12/17,31.064,32.704
E,E3,31.438,7/13/17,31.064,32.704
E,E3,31.438,7/14/17,31.064,32.704
E,E3,31.506,7/15/17,31.064,32.704
E,E3,31.91483333,7/16/17,31.064,32.704
E,E3,32.30816667,7/17/17,31.064,32.704
E,E3,32.12841667,7/18/17,31.064,32.704
E,E3,31.90575,7/19/17,31.064,32.704
E,E3,31.96583333,7/20/17,31.064,32.704
E,E3,32.0345,7/21/17,31.064,32.704
E,E3,32.23958333,7/22/17,31.064,32.704
E,E3,32.52283333,7/23/17,31.064,32.704
E,E5,30.87866667,7/8/17,30.76,32.394
E,E5,30.97975,7/9/17,30.76,32.394
E,E5,31.421,7/10/17,30.76,32.394
E,E5,31.5825,7/11/17,30.76,32.394
E,E5,31.3955,7/12/17,30.76,32.394
E,E5,31.234,7/13/17,30.76,32.394
E,E5,31.217,7/14/17,30.76,32.394
E,E5,31.2595,7/15/17,30.76,32.394
E,E5,31.6505,7/16/17,30.76,32.394
E,E5,32.04308333,7/17/17,30.76,32.394
E,E5,31.85491667,7/18/17,30.76,32.394
E,E5,31.642,7/19/17,30.76,32.394
E,E5,31.6675,7/20/17,30.76,32.394
E,E5,31.7865,7/21/17,30.76,32.394
E,E5,31.96583333,7/22/17,30.76,32.394
E,E5,32.23966667,7/23/17,30.76,32.394
E,E7,30.89541667,7/9/17,30.659,32.394
E,E7,31.336,7/10/17,30.659,32.394
E,E7,31.5145,7/11/17,30.659,32.394
E,E7,31.353,7/12/17,30.659,32.394
E,E7,31.2255,7/13/17,30.659,32.394
E,E7,31.2085,7/14/17,30.659,32.394
E,E7,31.2425,7/15/17,30.659,32.394
E,E7,31.6165,7/16/17,30.659,32.394
E,E7,31.983,7/17/17,30.659,32.394
E,E7,31.83783333,7/18/17,30.659,32.394
E,E7,31.574,7/19/17,30.659,32.394
E,E7,31.659,7/20/17,30.659,32.394
E,E7,31.7525,7/21/17,30.659,32.394
E,E7,31.9315,7/22/17,30.659,32.394
E,E7,32.17116667,7/23/17,30.659,32.394
E,E7,32.35966667,7/24/17,30.659,32.394
E,E7,32.3425,7/25/17,30.659,32.394
E,E9,30.828,7/9/17,30.659,32.291
E,E9,31.24258333,7/10/17,30.659,32.291
E,E9,31.404,7/11/17,30.659,32.291
E,E9,31.2595,7/12/17,30.659,32.291
E,E9,31.132,7/13/17,30.659,32.291
E,E9,31.115,7/14/17,30.659,32.291
E,E9,31.1405,7/15/17,30.659,32.291
E,E9,31.489,7/16/17,30.659,32.291
E,E9,31.863,7/17/17,30.659,32.291
E,E9,31.6675,7/18/17,30.659,32.291
E,E9,31.4295,7/19/17,30.659,32.291
E,E9,31.4635,7/20/17,30.659,32.291
E,E9,31.625,7/21/17,30.659,32.291
E,E9,31.8205,7/22/17,30.659,32.291
E,E9,32.10266667,7/23/17,30.659,32.291
E,E9,32.26525,7/24/17,30.659,32.291
E,E9,32.24808333,7/25/17,30.659,32.291
